id,category,author,title,start_page,end_page
1,oral,鈴木 萌々花;大町 奈央子;磯田 祐世;山本 佑樹,製造現場の認知構造に基づくUI/UX設計が製造プロセスの意思決定に与える影響,4,9
2,oral,工藤 泰幸,行動介入シミュレータ：社会的ジレンマの解消支援ツールとして,10,15
3,oral,宇田 航貴;野々村 真誉;吹田 駿介;山本 佑樹,内製 Web アプリの導入における心理的障壁の分析と行動変容の促進,16,22
4,oral,真弓 大輝;松田 裕貴;松田 裕貴;横田 哲弥;榊原 太一;安本 慶一,非特定テレビ視聴履歴データを用いたテレビ視聴行動クラスタリング手法の構築と評価,23,30
5,oral,徳永 秀真;村瀬 颯登;野々村 真誉;山本 佑樹,ナレッジベース活用による知識伝承を促進するナッジ施策と集団特性の関係性,31,37
6,oral,西山 瑠夏;谷口 尚子;小木 哲朗,ノーコードアプリ開発によるゲーミフィケーションを用いたエシカル消費の行動変容,38,44
7,oral,大森 幹真;唐亀 健大;豊浦 正広,書字動作の不均一性からの視覚運動協応能力の予測,45,50
8,oral,宮澤 俊介;木村 正子;ロペズ ギヨーム,リアルタイム視覚的フィードバックによるバスケットボールシュートフォーム改善システム,51,57
9,oral,阿部 悠貴;木村 正子;ロペズ ギヨーム,拡張現実とマルチセンサデバイスを用いたアームロボットリモートコントロールシステムの提案,58,64
10,oral,基村 竜晟;田中 貴紘;岡田 将吾,一時停止交差点における運転支援システムの個人適合に向けた基礎検討,65,72
11,posterdemo,松本 航太郎;岩井 将行,ChatGPTを介した小規模なフロー型データベース管理システム,73,74
12,posterdemo,長尾 敦史,農山村地域における地域住民意識変化プロセス,75,75
13,posterdemo,坪井 務;大島 創;水上 美香,新興国における交通渋滞とドライバー行動変容（第１報）,76,82
14,posterdemo,谷本 広志;種市 摂子,AIとweb3を活用した行動変容支援システム「運動サプリ」の開発：行動科学に基づくインセンティブ設計と個別最適化による行動変容促進,83,86
15,posterdemo,山中 翔太;浜中 智己;佐々木 航;大越 匡,スマートフォンのセンサデータに基づくユーザコンテキスト認識型音楽推薦システム,87,90
